,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
81,da,O,83,119,121,7
82,cor,O,83,122,125,7
83,do,O,83,126,128,7
84,morango,B-CARACTERISTICA_SENSORIAL_COR,83,129,136,7
85,para,O,83,137,141,7
86,a,O,83,142,143,7
87,amora,B-CARACTERISTICA_SENSORIAL_COR,83,144,149,7
88,.,O,83,149,150,7
89,Mas,O,84,0,3,7
90,não,O,84,4,7,7
91,se,O,84,8,10,7
92,preocupe,O,84,11,19,7
93,",",O,84,19,20,7
94,esse,O,84,21,25,7
95,é,O,84,26,27,7
96,um,O,84,28,30,7
97,processo,O,84,31,39,7
98,natural,O,84,40,47,7
99,de,O,84,48,50,7
100,alimentos,O,84,51,60,7
101,sem,O,84,61,64,7
102,corante,O,84,65,72,7
103,.,O,84,72,73,7
104,Babuxca,B-NOME_BEBIDA,85,0,7,7
105,é,O,85,8,9,7
106,uma,O,85,10,13,7
107,bebida,O,85,14,20,7
108,alcoólica,O,85,21,30,7
109,mista,O,85,31,36,7
110,feita,O,85,37,42,7
111,com,O,85,43,46,7
112,ingredientes,O,85,47,59,7
113,100%,O,85,60,64,7
114,naturais,O,85,65,73,7
115,.,O,85,73,74,7
116,ORIGEM,O,86,0,6,7
117,DO,O,86,7,9,7
118,NOME,O,86,10,14,7
119,Babu,O,86,15,19,7
120,é,O,86,20,21,7
121,o,O,86,22,23,7
122,apelido,O,86,24,31,7
123,do,O,86,32,34,7
124,criador,O,86,35,42,7
125,da,O,86,43,45,7
126,nossa,O,86,46,51,7
127,fórmula,O,86,52,59,7
128,.,O,86,59,60,7
129,Assim,O,87,0,5,7
130,",",O,87,5,6,7
131,resolvemos,O,87,7,17,7
132,dar,O,87,18,21,7
133,o,O,87,22,23,7
134,mesmo,O,87,24,29,7
135,nome,O,87,30,34,7
136,para,O,87,35,39,7
137,o,O,87,40,41,7
138,nosso,O,87,42,47,7
139,mascote,O,87,48,55,7
140,(,O,87,56,57,7
141,esse,O,87,57,61,7
142,macaquinho,O,87,62,72,7
143,simpático,O,87,73,82,7
144,),O,87,82,83,7
145,e,O,87,84,85,7
146,homenageá,O,87,86,95,7
147,-,O,87,95,96,7
148,lo,O,87,96,98,7
149,com,O,87,99,102,7
150,o,O,87,103,104,7
151,nome,O,87,105,109,7
152,da,O,87,110,112,7
153,marca,O,87,113,118,7
154,de,O,87,119,121,7
155,uma,O,87,122,125,7
156,forma,O,87,126,131,7
157,divertida,O,87,132,141,7
158,:,O,87,141,142,7
159,Babuxca,B-NOME_ORGANIZACAO,87,143,150,7
160,.,O,87,150,151,7
161,Volume,O,88,0,6,7
162,:,O,88,6,7,7
163,700ml,B-VOLUME,88,8,13,7
164,Graduação,O,89,0,9,7
165,Alcoólica,O,89,10,19,7
166,:,O,89,19,20,7
167,18,B-GRADUACAO_ALCOOLICA,89,21,23,7
168,",",I-GRADUACAO_ALCOOLICA,89,23,24,7
169,5%,I-GRADUACAO_ALCOOLICA,89,24,26,7
170,RECIPIENTE,O,90,0,10,7
171,DE,O,90,11,13,7
172,ARMAZENAMENTO,O,90,14,27,7
173,:,O,90,27,28,7
174,Tipo,O,90,29,33,7
175,Barril,O,90,34,40,7
176,:,O,90,40,41,7
177,Não,O,90,42,45,7
178,Há,O,90,46,48,7
179,Tipo,O,91,0,4,7
180,:,O,91,4,5,7
181,Bebida,O,91,6,12,7
182,mista,O,91,13,18,7
183,Produtor,O,92,0,8,7
184,:,O,92,8,9,7
185,BABUXCA,B-NOME_ORGANIZACAO,92,10,17,7
186,Local,O,93,0,5,7
187,de,O,93,6,8,7
188,Produção,O,93,9,17,7
189,:,O,93,17,18,7
190,Sorocaba,B-NOME_LOCAL,93,19,27,7
191,/,O,93,28,29,7
192,SP,B-NOME_LOCAL,93,30,32,7
193,NOME,O,94,0,4,8
194,DA,O,94,5,7,8
195,CACHAÇA,O,94,8,15,8
196,:,O,94,15,16,8
197,CACHAÇA,O,94,17,24,8
198,SERRA,B-NOME_BEBIDA,94,25,30,8
199,MORENA,I-NOME_BEBIDA,94,31,37,8
200,OURO,B-CLASSIFICACAO_BEBIDA,94,38,42,8
201,PREÇO,O,95,0,5,8
202,:,O,95,5,6,8
203,R$,B-PRECO,95,7,9,8
204,56,I-PRECO,95,10,12,8
205,",",I-PRECO,95,12,13,8
206,0,I-PRECO,95,13,15,8
207,DESCRIÇÃO,O,96,0,9,8
208,DA,O,96,10,12,8
209,CACHAÇA,O,96,13,20,8
210,:,O,96,20,21,8
211,Serra,B-NOME_BEBIDA,96,22,27,8
212,Morena,I-NOME_BEBIDA,96,28,34,8
213,Ouro,B-CLASSIFICACAO_BEBIDA,96,35,39,8
214,670ml,B-VOLUME,96,40,45,8
215,Volume,O,97,0,6,8
216,:,O,97,6,7,8
217,670ml,B-VOLUME,97,8,13,8
218,Graduação,O,98,0,9,8
219,Alcoólica,O,98,10,19,8
220,:,O,98,19,20,8
221,40%,B-GRADUACAO_ALCOOLICA,98,21,24,8
222,RECIPIENTE,O,99,0,10,8
223,DE,O,99,11,13,8
224,ARMAZENAMENTO,O,99,14,27,8
225,:,O,99,27,28,8
226,Tipo,O,99,29,33,8
227,Barril,O,99,34,40,8
228,:,O,99,40,41,8
229,Carvalho,B-TIPO_MADEIRA,99,42,50,8
230,e,O,99,51,52,8
231,Jequitibá,B-TIPO_MADEIRA,99,53,62,8
232,Tipo,O,100,0,4,8
233,:,O,100,4,5,8
234,Ouro,B-CLASSIFICACAO_BEBIDA,100,6,10,8
235,Produtor,O,101,0,8,8
236,:,O,101,8,9,8
237,Serra,B-NOME_ORGANIZACAO,101,10,15,8
238,Morena,I-NOME_ORGANIZACAO,101,16,22,8
239,Local,O,102,0,5,8
240,de,O,102,6,8,8
241,Produção,O,102,9,17,8
242,:,O,102,17,18,8
243,Belo,B-NOME_LOCAL,102,19,23,8
244,Vale,I-NOME_LOCAL,102,24,28,8
245,/,O,102,29,30,8
246,Minas,B-NOME_LOCAL,102,31,36,8
247,Gerais,I-NOME_LOCAL,102,37,43,8
248,NOME,O,121,0,4,11
249,DA,O,121,5,7,11
250,CACHAÇA,O,121,8,15,11
251,:,O,121,15,16,11
252,Cachaça,O,121,17,24,11
253,Maribondo,B-NOME_BEBIDA,121,25,34,11
254,PREÇO,O,122,0,5,11
255,:,O,122,5,6,11
256,R$,B-PRECO,122,7,9,11
257,45,I-PRECO,122,10,12,11
258,",",I-PRECO,122,12,13,11
259,0,I-PRECO,122,13,15,11
260,DESCRIÇÃO,O,123,0,9,11
261,DA,O,123,10,12,11
262,CACHAÇA,O,123,13,20,11
263,:,O,123,20,21,11
264,A,O,123,22,23,11
265,cachaça,O,123,24,31,11
266,é,O,123,32,33,11
267,produzida,O,123,34,43,11
268,em,O,123,44,46,11
269,Guarabira,B-NOME_LOCAL,123,47,56,11
270,no,O,123,57,59,11
271,estado,O,123,60,66,11
272,da,O,123,67,69,11
273,Paraíba,B-NOME_LOCAL,123,70,77,11
274,desde,O,123,78,83,11
275,1901,B-TEMPO,123,84,88,11
276,",",O,123,88,89,11
277,e,O,123,90,91,11
278,orgulha,O,123,92,99,11
279,-,O,123,99,100,11
280,se,O,123,100,102,11
281,de,O,123,103,105,11
282,aproveitar,O,123,106,116,11
283,apenas,O,123,117,123,11
284,o,O,123,124,125,11
285,coração,O,123,126,133,11
286,da,O,123,134,136,11
287,destilação,O,123,137,147,11
288,na,O,123,148,150,11
289,produção,O,123,151,159,11
290,da,O,123,160,162,11
291,bebida,O,123,163,169,11
292,",",O,123,169,170,11
293,que,O,123,171,174,11
294,posteriormente,O,123,175,189,11
295,repousa,O,123,190,197,11
296,em,O,123,198,200,11
297,tonéis,B-RECIPIENTE_ARMAZENAMENTO,123,201,207,11
298,de,O,123,208,210,11
299,freijó,B-TIPO_MADEIRA,123,211,217,11
300,para,O,123,218,222,11
301,apurar,O,123,223,229,11
302,o,O,123,230,231,11
303,sabor,O,123,232,237,11
304,.,O,123,237,238,11
305,Volume,O,124,0,6,11
306,:,O,124,6,7,11
307,890ml,B-VOLUME,124,8,13,11
308,Graduação,O,125,0,9,11
309,Alcoólica,O,125,10,19,11
310,:,O,125,19,20,11
311,40,B-GRADUACAO_ALCOOLICA,125,21,23,11
312,%,I-GRADUACAO_ALCOOLICA,125,24,25,11
313,GL,O,125,26,28,11
314,RECIPIENTE,O,126,0,10,11
315,DE,O,126,11,13,11
316,ARMAZENAMENTO,O,126,14,27,11
317,:,O,126,27,28,11
318,Tipo,O,126,29,33,11
319,Barril,O,126,34,40,11
320,:,O,126,40,41,11
321,Freijó,B-TIPO_MADEIRA,126,42,48,11
322,Tipo,O,127,0,4,11
323,:,O,127,4,5,11
324,Armazenada,O,127,6,16,11
325,Produtor,O,128,0,8,11
326,:,O,128,8,9,11
327,Engenho,B-NOME_ORGANIZACAO,128,10,17,11
328,Palmeira,I-NOME_ORGANIZACAO,128,18,26,11
329,Local,O,129,0,5,11
330,de,O,129,6,8,11
331,Produção,O,129,9,17,11
332,:,O,129,17,18,11
333,Guarabira,B-NOME_LOCAL,129,19,28,11
334,/,O,129,29,30,11
335,Paraíba,B-NOME_LOCAL,129,31,38,11
336,NOME,O,239,0,4,24
337,DA,O,239,5,7,24
338,CACHAÇA,O,239,8,15,24
339,:,O,239,15,16,24
340,Lançamento,O,239,17,27,24
341,Weber,B-NOME_BEBIDA,239,28,33,24
342,Haus,I-NOME_BEBIDA,239,34,38,24
343,(,O,239,39,40,24
344,7,O,239,41,42,24
345,Madeiras,O,239,43,51,24
346,+,O,239,52,53,24
347,Umas,B-NOME_BEBIDA,239,54,58,24
348,e,I-NOME_BEBIDA,239,59,60,24
349,Outras,I-NOME_BEBIDA,239,61,67,24
350,+,O,239,68,69,24
351,Leandro,B-NOME_PESSOA,239,70,77,24
352,Batista,I-NOME_PESSOA,239,78,85,24
353,),O,239,86,87,24
354,PREÇO,O,240,0,5,24
355,:,O,240,5,6,24
356,R$,B-PRECO,240,7,9,24
357,220,I-PRECO,240,10,13,24
358,",",I-PRECO,240,13,14,24
359,0,I-PRECO,240,14,16,24
360,DESCRIÇÃO,O,241,0,9,24
361,DA,O,241,10,12,24
362,CACHAÇA,O,241,13,20,24
363,:,O,241,20,21,24
364,Lançamento,O,241,22,32,24
365,Weber,B-NOME_BEBIDA,241,33,38,24
366,Haus,I-NOME_BEBIDA,241,39,43,24
367,(,O,241,44,45,24
368,7,O,241,46,47,24
369,Madeiras,O,241,48,56,24
370,+,O,241,57,58,24
371,Umas,B-NOME_BEBIDA,241,59,63,24
372,e,I-NOME_BEBIDA,241,64,65,24
373,Outras,I-NOME_BEBIDA,241,66,72,24
374,+,O,241,73,74,24
375,Leandro,B-NOME_PESSOA,241,75,82,24
376,Batista,I-NOME_PESSOA,241,83,90,24
377,),O,241,91,92,24
378,Volume,O,242,0,6,24
379,:,O,242,6,7,24
380,750ml,B-VOLUME,242,8,13,24
381,Tipo,O,243,0,4,24
382,:,O,243,4,5,24
383,Envelhecida,O,243,6,17,24
384,Produtor,O,244,0,8,24
385,:,O,244,8,9,24
386,Weber,B-NOME_ORGANIZACAO,244,10,15,24
387,Haus,I-NOME_ORGANIZACAO,244,16,20,24
388,Local,O,245,0,5,24
389,de,O,245,6,8,24
390,Produção,O,245,9,17,24
391,:,O,245,17,18,24
392,Ivotí,B-NOME_LOCAL,245,19,24,24
393,/,O,245,25,26,24
394,Rio,B-NOME_LOCAL,245,27,30,24
395,Grande,I-NOME_LOCAL,245,31,37,24
396,do,I-NOME_LOCAL,245,38,40,24
397,Sul,I-NOME_LOCAL,245,41,44,24
398,NOME,O,425,0,4,45
399,DA,O,425,5,7,45
400,CACHAÇA,O,425,8,15,45
401,:,O,425,15,16,45
402,Cachaça,O,425,17,24,45
403,Theodoro,B-NOME_BEBIDA,425,25,33,45
404,Jequitiba,B-TIPO_MADEIRA,425,34,43,45
405,PREÇO,O,426,0,5,45
406,:,O,426,5,6,45
407,R$,B-PRECO,426,7,9,45
408,35,I-PRECO,426,10,12,45
409,",",I-PRECO,426,12,13,45
410,0,I-PRECO,426,13,15,45
411,DESCRIÇÃO,O,427,0,9,45
412,DA,O,427,10,12,45
413,CACHAÇA,O,427,13,20,45
414,:,O,427,20,21,45
415,Cachaça,O,427,22,29,45
416,Theodoro,B-NOME_BEBIDA,427,30,38,45
417,Jequitiba,B-TIPO_MADEIRA,427,39,48,45
418,Descansada,O,427,49,59,45
419,7,B-TEMPO_ARMAZENAMENTO,427,60,61,45
420,anos,I-TEMPO_ARMAZENAMENTO,427,62,66,45
421,em,O,427,67,69,45
422,tonéis,B-RECIPIENTE_ARMAZENAMENTO,427,70,76,45
423,de,O,427,77,79,45
424,Jequitibá,B-TIPO_MADEIRA,427,80,89,45
425,rosa,I-TIPO_MADEIRA,427,90,94,45
426,.,O,427,94,95,45
427,Volume,O,428,0,6,45
428,:,O,428,6,7,45
429,670ml,B-VOLUME,428,8,13,45
430,Graduação,O,429,0,9,45
431,Alcoólica,O,429,10,19,45
432,:,O,429,19,20,45
433,42%,B-GRADUACAO_ALCOOLICA,429,21,24,45
434,Produtor,O,430,0,8,45
435,:,O,430,8,9,45
436,Fazenda,B-NOME_ORGANIZACAO,430,10,17,45
437,Amábile,I-NOME_ORGANIZACAO,430,18,25,45
438,Local,O,431,0,5,45
439,de,O,431,6,8,45
440,Produção,O,431,9,17,45
441,:,O,431,17,18,45
442,Serra,B-NOME_LOCAL,431,19,24,45
443,Negra,I-NOME_LOCAL,431,25,30,45
444,/,O,431,31,32,45
445,São,B-NOME_LOCAL,431,33,36,45
446,Paulo,I-NOME_LOCAL,431,37,42,45
447,NOME,O,509,0,4,54
448,DA,O,509,5,7,54
449,CACHAÇA,O,509,8,15,54
450,:,O,509,15,16,54
451,Cachaça,O,509,17,24,54
452,Huaninha,B-NOME_BEBIDA,509,25,33,54
453,PREÇO,O,510,0,5,54
454,:,O,510,5,6,54
455,R$,B-PRECO,510,7,9,54
456,45,I-PRECO,510,10,12,54
457,",",I-PRECO,510,12,13,54
458,0,I-PRECO,510,13,15,54
459,DESCRIÇÃO,O,511,0,9,54
460,DA,O,511,10,12,54
461,CACHAÇA,O,511,13,20,54
462,:,O,511,20,21,54
463,Cachaça,O,511,22,29,54
464,Huaninha,B-NOME_BEBIDA,511,30,38,54
465,Bálsamo,B-TIPO_MADEIRA,511,39,46,54
466,670ml,B-VOLUME,511,47,52,54
467,Volume,O,512,0,6,54
468,:,O,512,6,7,54
469,670ml,B-VOLUME,512,8,13,54
470,Graduação,O,513,0,9,54
471,Alcoólica,O,513,10,19,54
472,:,O,513,19,20,54
473,44%,B-GRADUACAO_ALCOOLICA,513,21,24,54
474,RECIPIENTE,O,514,0,10,54
475,DE,O,514,11,13,54
476,ARMAZENAMENTO,O,514,14,27,54
477,:,O,514,27,28,54
478,Tipo,O,514,29,33,54
479,Barril,O,514,34,40,54
480,:,O,514,40,41,54
481,Bálsamo,B-TIPO_MADEIRA,514,42,49,54
482,Local,O,515,0,5,54
483,de,O,515,6,8,54
484,Produção,O,515,9,17,54
485,:,O,515,17,18,54
486,Guaraciama,B-NOME_LOCAL,515,19,29,54
487,/,O,515,30,31,54
488,Minas,B-NOME_LOCAL,515,32,37,54
489,Gerais,I-NOME_LOCAL,515,38,44,54
490,NOME,O,659,0,4,68
491,DA,O,659,5,7,68
492,CACHAÇA,O,659,8,15,68
493,:,O,659,15,16,68
494,Dom,B-NOME_BEBIDA,659,17,20,68
495,Bre,I-NOME_BEBIDA,659,21,24,68
496,Amburana,B-TIPO_MADEIRA,659,25,33,68
497,PREÇO,O,660,0,5,68
498,:,O,660,5,6,68
499,R$,B-PRECO,660,7,9,68
500,120,I-PRECO,660,10,13,68
501,",",I-PRECO,660,13,14,68
502,0,I-PRECO,660,14,16,68
503,DESCRIÇÃO,O,661,0,9,68
504,DA,O,661,10,12,68
505,CACHAÇA,O,661,13,20,68
506,:,O,661,20,21,68
507,Cachaça,O,661,22,29,68
508,armazenada,O,661,30,40,68
509,em,O,661,41,43,68
510,tonéis,B-RECIPIENTE_ARMAZENAMENTO,661,44,50,68
511,de,O,661,51,53,68
512,Amburana,B-TIPO_MADEIRA,661,54,62,68
513,Armazenada,O,661,63,73,68
514,em,O,661,74,76,68
515,tonéis,B-RECIPIENTE_ARMAZENAMENTO,661,77,83,68
516,de,O,661,84,86,68
517,amburana,B-TIPO_MADEIRA,661,87,95,68
518,por,O,661,96,99,68
519,um,O,661,100,102,68
520,longo,O,661,103,108,68
521,tempo,O,661,109,114,68
522,",",O,661,114,115,68
523,selecionada,O,661,116,127,68
524,e,O,661,128,129,68
525,elaborada,O,661,130,139,68
526,harmoniosamente,O,661,140,155,68
527,",",O,661,155,156,68
528,com,O,661,157,160,68
529,notas,B-CARACTERISTICA_SENSORIAL_AROMA,661,161,166,68
530,amadeiradas,I-CARACTERISTICA_SENSORIAL_AROMA,661,167,178,68
531,",",O,661,178,179,68
532,frutadas,B-CARACTERISTICA_SENSORIAL_AROMA,661,180,188,68
533,e,O,661,189,190,68
534,florais,B-CARACTERISTICA_SENSORIAL_AROMA,661,191,198,68
535,",",O,661,198,199,68
536,com,O,661,200,203,68
537,sabor,O,661,204,209,68
538,e,O,661,210,211,68
539,aroma,O,661,212,217,68
540,exclusivos,O,661,218,228,68
541,de,O,661,229,231,68
542,uma,O,661,232,235,68
543,bebida,O,661,236,242,68
544,singular,O,661,243,251,68
545,.,O,661,251,252,68
546,A,O,662,0,1,68
547,Dom,B-NOME_BEBIDA,662,2,5,68
548,Bré,I-NOME_BEBIDA,662,6,9,68
549,Amburana,B-TIPO_MADEIRA,662,10,18,68
550,foi,O,662,19,22,68
551,eleita,O,662,23,29,68
552,em,O,662,30,32,68
553,9°,O,662,33,35,68
554,Lugar,O,662,36,41,68
555,na,O,662,42,44,68
556,categoria,O,662,45,54,68
557,Envelhecida,O,662,55,66,68
558,entre,O,662,67,72,68
559,as,O,662,73,75,68
560,50,O,662,76,78,68
561,melhores,O,662,79,87,68
562,do,O,662,88,90,68
563,Ano,O,662,91,94,68
564,no,O,662,95,97,68
565,IV,O,662,98,100,68
566,Ranking,O,662,101,108,68
567,da,O,662,109,111,68
568,Cúpula,B-NOME_ORGANIZACAO,662,112,118,68
569,da,I-NOME_ORGANIZACAO,662,119,121,68
570,Cachaça,I-NOME_ORGANIZACAO,662,122,129,68
571,de,O,662,130,132,68
572,2020,B-TEMPO,662,133,137,68
573,.,O,662,137,138,68
574,Volume,O,663,0,6,68
575,:,O,663,6,7,68
576,700ml,B-VOLUME,663,8,13,68
577,Graduação,O,664,0,9,68
578,Alcoólica,O,664,10,19,68
579,:,O,664,19,20,68
580,40%,B-GRADUACAO_ALCOOLICA,664,21,24,68
581,Local,O,665,0,5,68
582,de,O,665,6,8,68
583,Produção,O,665,9,17,68
584,:,O,665,17,18,68
585,Guarani,B-NOME_LOCAL,665,19,26,68
586,/,O,665,27,28,68
587,Minas,B-NOME_LOCAL,665,29,34,68
588,Gerais,I-NOME_LOCAL,665,35,41,68
589,NOME,O,737,0,4,76
590,DA,O,737,5,7,76
591,CACHAÇA,O,737,8,15,76
592,:,O,737,15,16,76
593,Cachaça,O,737,17,24,76
594,Vanderley,B-NOME_BEBIDA,737,25,34,76
595,Azevedo,I-NOME_BEBIDA,737,35,42,76
596,Extra,B-CLASSIFICACAO_BEBIDA,737,43,48,76
597,Premium,I-CLASSIFICACAO_BEBIDA,737,49,56,76
598,12,B-TEMPO_ARMAZENAMENTO,737,57,59,76
599,anos,I-TEMPO_ARMAZENAMENTO,737,60,64,76
600,700ml,B-VOLUME,737,65,70,76
601,PREÇO,O,738,0,5,76
602,:,O,738,5,6,76
603,R$,B-PRECO,738,7,9,76
604,309,I-PRECO,738,10,13,76
605,",",I-PRECO,738,13,14,76
606,0,I-PRECO,738,14,16,76
607,DESCRIÇÃO,O,739,0,9,76
608,DA,O,739,10,12,76
609,CACHAÇA,O,739,13,20,76
610,:,O,739,20,21,76
611,Cachaça,O,739,22,29,76
612,Artesanal,O,739,30,39,76
613,produzida,O,739,40,49,76
614,em,O,739,50,52,76
615,Ituiutaba,B-NOME_LOCAL,739,53,62,76
616,-,O,739,62,63,76
617,MG,B-NOME_LOCAL,739,63,65,76
618,pontal,O,739,66,72,76
619,do,O,739,73,75,76
620,triangulo,O,739,76,85,76
621,mineiro,O,739,86,93,76
622,destilada,O,739,94,103,76
623,por,O,739,104,107,76
624,Vanderley,B-NOME_PESSOA,739,108,117,76
625,Azevedo,I-NOME_PESSOA,739,118,125,76
626,e,O,739,126,127,76
627,Cássio,B-NOME_PESSOA,739,128,134,76
628,Azevedo,I-NOME_PESSOA,739,135,142,76
629,.,O,739,142,143,76
630,Cachaça,O,740,0,7,76
631,Premiada,O,740,8,16,76
632,com,O,740,17,20,76
633,duas,O,740,21,25,76
634,medalhas,O,740,26,34,76
635,de,O,740,35,37,76
636,prata,O,740,38,43,76
637,nos,O,740,44,47,76
638,dois,O,740,48,52,76
639,maiores,O,740,53,60,76
640,concursos,O,740,61,70,76
641,de,O,740,71,73,76
642,destilado,O,740,74,83,76
643,do,O,740,84,86,76
644,mundo,O,740,87,92,76
645,.,O,740,92,93,76
646,Em,O,741,0,2,76
647,2019,B-TEMPO,741,3,7,76
648,ela,O,741,8,11,76
649,foi,O,741,12,15,76
650,condecorada,O,741,16,27,76
651,com,O,741,28,31,76
652,a,O,741,32,33,76
653,medalha,O,741,34,41,76
654,de,O,741,42,44,76
655,prata,O,741,45,50,76
656,no,O,741,51,53,76
657,Spirits,B-NOME_ORGANIZACAO,741,54,61,76
658,Selection,I-NOME_ORGANIZACAO,741,62,71,76
659,e,O,741,72,73,76
660,em,O,741,74,76,76
661,2020,B-TEMPO,741,77,81,76
662,recebeu,O,741,82,89,76
663,medalha,O,741,90,97,76
664,de,O,741,98,100,76
665,prata,O,741,101,106,76
666,no,O,741,107,109,76
667,San,B-NOME_LOCAL,741,110,113,76
668,Francisco,I-NOME_LOCAL,741,114,123,76
669,Spirits,O,741,124,131,76
670,World,O,741,132,137,76
671,Competition,O,741,138,149,76
672,.,O,741,149,150,76
673,A,O,742,0,1,76
674,cachaça,O,742,2,9,76
675,Extra,B-CLASSIFICACAO_BEBIDA,742,10,15,76
676,Premium,I-CLASSIFICACAO_BEBIDA,742,16,23,76
677,Vanderley,B-NOME_BEBIDA,742,24,33,76
678,Azevedo,I-NOME_BEBIDA,742,34,41,76
679,é,O,742,42,43,76
680,um,O,742,44,46,76
681,single,O,742,47,53,76
682,barrel,O,742,54,60,76
683,de,O,742,61,63,76
684,um,O,742,64,66,76
685,barril,B-RECIPIENTE_ARMAZENAMENTO,742,67,73,76
686,de,O,742,74,76,76
687,carvalho,B-TIPO_MADEIRA,742,77,85,76
688,francês,I-TIPO_MADEIRA,742,86,93,76
689,",",O,742,93,94,76
690,feita,O,742,95,100,76
691,com,O,742,101,104,76
692,fermento,O,742,105,113,76
693,caipira,O,742,114,121,76
694,e,O,742,122,123,76
695,destilada,O,742,124,133,76
696,em,O,742,134,136,76
697,alambiques,B-EQUIPAMENTO_DESTILACAO,742,137,147,76
698,de,I-EQUIPAMENTO_DESTILACAO,742,148,150,76
699,cobre,I-EQUIPAMENTO_DESTILACAO,742,151,156,76
700,.,O,742,156,157,76
701,Os,O,743,0,2,76
702,12,B-TEMPO_ARMAZENAMENTO,743,3,5,76
703,anos,I-TEMPO_ARMAZENAMENTO,743,6,10,76
704,de,O,743,11,13,76
705,envelhecimento,O,743,14,28,76
706,trouxeram,O,743,29,38,76
707,muitas,O,743,39,45,76
708,complexidades,O,743,46,59,76
709,que,O,743,60,63,76
710,você,O,743,64,68,76
711,pode,O,743,69,73,76
712,conferir,O,743,74,82,76
713,na,O,743,83,85,76
714,seção,O,743,86,91,76
715,análise,O,743,92,99,76
716,sensorial,O,743,100,109,76
717,feita,O,743,110,115,76
718,pelos,O,743,116,121,76
719,juízes,O,743,122,128,76
720,do,O,743,129,131,76
721,Spirits,B-NOME_ORGANIZACAO,743,132,139,76
722,Selection,I-NOME_ORGANIZACAO,743,140,149,76
723,.,O,743,149,150,76
724,Análise,O,744,0,7,76
725,Sensorial,O,744,8,17,76
726,Extra,O,744,18,23,76
727,APARÊNCIA,O,744,24,33,76
728,:,O,744,33,34,76
729,Cor,O,744,35,38,76
730,dourada,B-CARACTERISTICA_SENSORIAL_COR,744,39,46,76
731,com,O,744,47,50,76
732,reflexos,B-CARACTERISTICA_SENSORIAL_COR,744,51,59,76
733,verdes,I-CARACTERISTICA_SENSORIAL_COR,744,60,66,76
734,.,O,744,66,67,76
735,AROMA,O,745,0,5,76
736,:,O,745,5,6,76
737,Intensidade,O,745,7,18,76
738,média,O,745,19,24,76
739,no,O,745,25,27,76
740,nariz,O,745,28,33,76
741,",",O,745,33,34,76
742,aromas,O,745,35,41,76
743,florais,B-CARACTERISTICA_SENSORIAL_AROMA,745,42,49,76
744,e,O,745,50,51,76
745,frutados,B-CARACTERISTICA_SENSORIAL_AROMA,745,52,60,76
746,muito,O,745,61,66,76
